Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
RandomForest,Train,1,71.98273268398265,24.91466501549223,19.96294623733754,17.662259006486593,71.98273268398265,24.91466501549223,19.96294623733754,17.662259006486593
RandomForest,Test,1,146.7731111111111,56.107685483326414,45.45294918257418,40.501300589289116,146.7731111111111,56.107685483326414,45.45294918257418,40.501300589289116
RandomForest,Train,2,112.55935865909333,41.02937084783935,34.02675489302837,31.580017537162934,112.55935865909333,41.02937084783935,34.02675489302837,31.580017537162934
RandomForest,Test,2,133.0594983807591,50.48096012088734,40.97645004959528,33.84811673858002,133.0594983807591,50.48096012088734,40.97645004959528,33.84811673858002
RandomForest,Train,3,112.19057574134516,38.7948577264901,31.207258770654185,28.473610087082594,112.19057574134516,38.7948577264901,31.207258770654185,28.473610087082594
RandomForest,Test,3,137.19603869184175,65.64708160066009,55.57685996058616,47.342589781628725,137.19603869184175,65.64708160066009,55.57685996058616,47.342589781628725
RandomForest,Train,4,112.78231248740585,39.79311825363662,32.748497618515785,29.958874806746817,112.78231248740585,39.79311825363662,32.748497618515785,29.958874806746817
RandomForest,Test,4,134.15654580409296,56.05333988491968,45.921743237803625,36.016142738848345,134.15654580409296,56.05333988491968,45.921743237803625,36.016142738848345
RandomForest,Train,5,111.79727658230468,40.21549069434137,33.11055518659312,29.67844010421491,111.79727658230468,40.21549069434137,33.11055518659312,29.67844010421491
RandomForest,Test,5,175.89214705506743,59.476781920211636,48.74050285786897,44.38862596635689,175.89214705506743,59.476781920211636,48.74050285786897,44.38862596635689
RandomForest,Train,6,118.10278227854616,40.360512313791425,33.12663129221809,29.569431655032087,118.10278227854616,40.360512313791425,33.12663129221809,29.569431655032087
RandomForest,Test,6,153.84040788487647,56.8828292036668,46.97510062175362,46.638359102674514,153.84040788487647,56.8828292036668,46.97510062175362,46.638359102674514
GaussianProcess,Train,1,3.2100047064886894e-08,1.4964436988129592e-08,1.2795109484009044e-08,7.769321446280705e-09,3.2100047064886894e-08,1.4964436988129592e-08,1.2795109484009044e-08,7.769321446280705e-09
GaussianProcess,Test,1,285.0,143.51932726046795,123.06756756756756,77.77541931446767,285.0,143.51932726046795,123.06756756756756,77.77541931446767
GaussianProcess,Train,2,3.2100047064886894e-08,1.4774888853629412e-08,1.2608152522020077e-08,7.751608919349657e-09,3.2100047064886894e-08,1.4774888853629412e-08,1.2608152522020077e-08,7.751608919349657e-09
GaussianProcess,Test,2,292.0,152.97407482174086,132.36486486486487,78.65625333635407,292.0,152.97407482174086,132.36486486486487,78.65625333635407
GaussianProcess,Train,3,3.2100047064886894e-08,1.4865518163979068e-08,1.2708424621822168e-08,7.76620907054016e-09,3.2100047064886894e-08,1.4865518163979068e-08,1.2708424621822168e-08,7.76620907054016e-09
GaussianProcess,Test,3,278.0,148.54355990479422,127.37837837837837,77.93019536563945,278.0,148.54355990479422,127.37837837837837,77.93019536563945
